advertiser,created_at,message,targets,targeting
Challenger Ag,2018-01-13 22:29:46.443452-05,"<p>The reviews are in on the Challenger 1000 Series. See how real farmers are reacting to the power, smarts, and year-round application benefits.</p>","[{""target"": ""Retargeting"", ""segment"": ""people who may be similar to their customers""}, {""target"": ""Gender"", ""segment"": ""men""}, {""target"": ""Age"", ""segment"": ""18 and older""}, {""target"": ""Region"", ""segment"": ""Minnesota""}]","<div><div class=""_4-i0 _26c5""><div class=""clearfix""><div class=""_51-u rfloat _ohf""><a class=""_42ft _5upp _50zy layerCancel _51-t _50-0 _50z-"">Close</a></div><div><h3 id=""u_14_0"" class=""_52c9"">About This Facebook Ad</h3></div></div></div><div class=""_4-i2 _pig _4s3a _50f4""><div class=""_4uov""><div class=""_4uoz""><div id=""u_14_1""></div><div class=""_3-8x""><span class=""_4v6n""><div id=""u_14_2"">One reason you're seeing this ad is that <b id=""ad_prefs_advertiser"">Challenger Ag</b> wants to reach <b>people who may be similar to their customers</b>. <a id=""ad_prefs_link"">Learn more.</a></div></span><div class=""_4hcd""><span>There may be other reasons you're seeing this ad, including that Challenger Ag wants to reach <b>men ages 18 and older who live or were recently in Minnesota</b>. This is information based on your Facebook profile and where you've connected to the internet.</span></div></div></div><div></div><div class=""_4uor _52jw""><div class=""_5aj7"" id=""u_14_3""><div class=""_4bl9""></div><div class=""_4bl7 _5r7v""><i class=""img sp_P_sQPvHyhCI sx_36fa86""><u>gear</u></i></div><div class=""_4bl7""><a href=""https://www.facebook.com/ads/preferences/"">Manage Your Ad Preferences</a></div></div></div><div class=""mhs pluginBoxDivider pluginBoxDividerGray _4uos""></div><div class=""_4uou""><div class=""_26c6 _3es4 fsl fwb fcb"">Tell Us What You Think</div><div><div class=""clearfix _ikh"" id=""u_14_4""><div class=""_4bl7 _3es3"">Was this explanation useful?</div><div class=""_4bl7 _2pit""><a id=""u_14_5"">Yes</a></div><div class=""_4bl9 _2pit""><a id=""u_14_6"">No</a></div></div><span class=""hidden_elem _3es3"" id=""u_14_7"">Thanks for your rating.</span></div></div></div></div><div class=""_5lnf uiOverlayFooter _5a8u _4866""><table class=""uiGrid _51mz uiOverlayFooterGrid""><tbody><tr class=""_51mx""><td class=""_51m- prs uiOverlayFooterMessage""><a><i class=""_4868 img sp_1bDesJDLTGp sx_5b9b22""><u>info</u></i><span class=""_4867"">Learn more about Facebook Ads</span></a></td><td class=""_51m- uiOverlayFooterButtons _51mw""></td></tr></tbody></table></div></div>"
Express,2018-07-20 13:16:12.789091-04,<p>Happening NOW: Get an extra 40% off already reduced clearance. Shop 100s of summer styles in-store &amp; online now! Excl. Apply.</p>,"[{""target"": ""Age"", ""segment"": ""18 and older""}, {""target"": ""MinAge"", ""segment"": ""18""}, {""target"": ""Gender"", ""segment"": ""men""}, {""target"": ""Retargeting"", ""segment"": ""people who may be similar to their customers""}, {""target"": ""Region"", ""segment"": ""the United States""}]","<div><div class=""_4-i0 _26c5""><div class=""clearfix""><div class=""_51-u rfloat _ohf""><a class=""_42ft _5upp _50zy layerCancel _51-t _50-0 _50z-"" href=""nullblank"">Close</a></div><div><h3 id=""u_2i_0"" class=""_52c9"">About This Facebook Ad</h3></div></div></div><div class=""_4-i2 _pig _4s3a _50f4""><div class=""_4uov""><div class=""_4uoz""><div id=""u_2i_1""></div><div class=""_3-8x""><span class=""_4v6n""><div id=""u_2i_2"">One reason you're seeing this ad is that <b id=""ad_prefs_advertiser"">Express</b> wants to reach <b>people who may be similar to their customers</b>. <a id=""ad_prefs_link"">Learn more.</a></div></span><div class=""_4hcd""><span>There may be other reasons you're seeing this ad, including that Express wants to reach <b>men ages 18 and older who live or were recently in the United States</b>. This is information based on your Facebook profile and where you've connected to the internet.</span></div></div></div><div></div><div class=""_4uor _52jw""><div class=""_5aj7"" id=""u_2i_3""><div class=""_4bl9""></div><div class=""_4bl7 _5r7v""><i class=""img sp_obZiadMhi7- sx_847df5""><u>gear</u></i></div><div class=""_4bl7""><a href=""https://www.facebook.com/ads/preferences/"">Manage Your Ad Preferences</a></div></div></div><div class=""mhs _1ray _1ra- _4uos""></div><div class=""_4uou""><div class=""_26c6 _3es4 fsl fwb fcb"">Tell Us What You Think</div><div><div class=""clearfix _ikh"" id=""u_2i_4""><div class=""_4bl7 _3es3"">Was this explanation useful?</div><div class=""_4bl7 _2pit""><a href=""nullblank"" id=""u_2i_5"">Yes</a></div><div class=""_4bl9 _2pit""><a href=""nullblank"" id=""u_2i_6"">No</a></div></div><span class=""hidden_elem _3es3"" id=""u_2i_7"">Thanks for your rating.</span></div></div></div></div><div class=""_5lnf uiOverlayFooter _5a8u _4866""><table class=""uiGrid _51mz uiOverlayFooterGrid""><tbody><tr class=""_51mx""><td class=""_51m- prs uiOverlayFooterMessage""><a><i class=""_4868 img sp_6kgCgUCnJro sx_346a86""><u>info</u></i><span class=""_4867"">Learn more about Facebook Ads</span></a></td><td class=""_51m- uiOverlayFooterButtons _51mw""></td></tr></tbody></table></div></div>"
Udacity,2017-09-18 23:29:30.60159-04,"<p>Get your Machine Learning Engineer Nanodegree Plus in this self-paced course. Job offer guaranteed, or we'll give you a full tuition refund.</p>","[{""target"": ""Retargeting"", ""segment"": ""people who may be similar to their customers""}, {""target"": ""Gender"", ""segment"": ""men""}, {""target"": ""Age"", ""segment"": ""18 and older""}, {""target"": ""Region"", ""segment"": ""the United States""}]","<div><div class=""_4-i0 _26c5""><div class=""clearfix""><div class=""_51-u rfloat _ohf""><a class=""_42ft _5upp _50zy layerCancel _51-t _50-0 _50z-"" href=""nullblank"">Close</a></div><div><h3 id=""u_1v_0"" class=""_52c9"">About This Facebook Ad</h3></div></div></div><div class=""_4-i2 _pig _4s3a _50f4""><div class=""_4uov""><div class=""_4uoz""><div id=""u_1v_1""></div><div class=""_3-8x""><span class=""_4v6n""><div id=""u_1v_2"">One reason you're seeing this ad is that <b id=""ad_prefs_advertiser"">Udacity</b> wants to reach <b>people who may be similar to their customers</b>. <a id=""ad_prefs_link"">Learn more.</a></div></span><div class=""_4hcd""><span>There may be other reasons you're seeing this ad, including that Udacity wants to reach <b>men ages 18 and older who live or were recently in the United States</b>. This is information based on your Facebook profile and where you've connected to the internet.</span></div></div></div><div></div><div class=""_4uor _52jw""><div class=""_5aj7"" id=""u_1v_3""><div class=""_4bl9""></div><div class=""_4bl7 _5r7v""><i class=""img sp_P_sQPvHyhCI_2x sx_b282ea""><u>gear</u></i></div><div class=""_4bl7""><a href=""https://www.facebook.com/ads/preferences/"">Manage Your Ad Preferences</a></div></div></div><div class=""mhs pluginBoxDivider pluginBoxDividerGray _4uos""></div><div class=""_4uou""><div class=""_26c6 _3es4 fsl fwb fcb"">Tell Us What You Think</div><div><div class=""clearfix _ikh"" id=""u_1v_4""><div class=""_4bl7 _3es3"">Was this explanation useful?</div><div class=""_4bl7 _2pit""><a href=""nullblank"" id=""u_1v_5"">Yes</a></div><div class=""_4bl9 _2pit""><a href=""nullblank"" id=""u_1v_6"">No</a></div></div><span class=""hidden_elem _3es3"" id=""u_1v_7"">Thanks for your rating.</span></div></div></div></div><div class=""_5lnf uiOverlayFooter _5a8u _4866""><table class=""uiGrid _51mz uiOverlayFooterGrid""><tbody><tr class=""_51mx""><td class=""_51m- prs uiOverlayFooterMessage""><a><i class=""_4868 img sp_kB6Zef-RHdF_2x sx_715d28""><u>info</u></i><span class=""_4867"">Learn more about Facebook Ads</span></a></td><td class=""_51m- uiOverlayFooterButtons _51mw""></td></tr></tbody></table></div></div>"
ACLU,2018-08-10 11:53:38.300108-04,"<p>On Election Day, we all have a job to do: Vote like our rights depend on it. That’s why we’re asking you to become an ACLU Voter. An ACLU Voter demands that candidates commit to make voter registration and voting as convenient as possible. Add your name now to join us.</p>","[{""target"": ""Age"", ""segment"": ""35 to 54""}, {""target"": ""MinAge"", ""segment"": ""35""}, {""target"": ""MaxAge"", ""segment"": ""54""}, {""target"": ""Gender"", ""segment"": ""men""}, {""target"": ""Region"", ""segment"": ""the United States""}]","<div><div class=""_4-i0 _26c5""><div class=""clearfix""><div class=""_51-u rfloat _ohf""><a class=""_42ft _5upp _50zy layerCancel _51-t _50-0 _50z-"" href=""#"">Close</a></div><div><h3 id=""u_cc_0"" class=""_52c9"">About This Facebook Ad</h3></div></div></div><div class=""_4-i2 _pig _4s3a _50f4""><div class=""_4uov""><div class=""_4uoz""><div id=""u_cc_1""></div><div class=""_3-8x""><span class=""_4v6n""><div id=""u_cc_2"">You're seeing this ad because <b id=""ad_prefs_advertiser"">ACLU</b> wants to reach <b>men ages 35 to 54 who live or were recently in the United States</b>. This is information based on your Facebook profile and where you've connected to the internet.</div></span></div></div><div></div><div class=""_4uor _52jw""><div class=""_5aj7"" id=""u_cc_3""><div class=""_4bl9""></div><div class=""_4bl7 _5r7v""><i class=""img sp_lXFspPUe6fO sx_fc6315""><u>gear</u></i></div><div class=""_4bl7""><a href=""https://www.facebook.com/ads/preferences/"">Manage Your Ad Preferences</a></div></div></div><div class=""mhs _1ray _1ra- _4uos""></div><div class=""_4uou""><div class=""_26c6 _3es4 fsl fwb fcb"">Tell Us What You Think</div><div><div class=""clearfix _ikh"" id=""u_cc_4""><div class=""_4bl7 _3es3"">Was this explanation useful?</div><div class=""_4bl7 _2pit""><a href=""#"" id=""u_cc_5"">Yes</a></div><div class=""_4bl9 _2pit""><a href=""#"" id=""u_cc_6"">No</a></div></div><span class=""hidden_elem _3es3"" id=""u_cc_7"">Thanks for your rating.</span></div></div></div></div><div class=""_5lnf uiOverlayFooter _5a8u _4866""><table class=""uiGrid _51mz uiOverlayFooterGrid""><tbody><tr class=""_51mx""><td class=""_51m- prs uiOverlayFooterMessage""><a><i class=""_4868 img sp_ubqeMV2LfFm sx_18edc3""><u>info</u></i><span class=""_4867"">Learn more about Facebook Ads</span></a></td><td class=""_51m- uiOverlayFooterButtons _51mw""></td></tr></tbody></table></div></div>"
Moogsoft Inc.,2018-08-10 12:22:00.44562-04,<p>Join us at the Moogsoft AIOps Symposium to learn the practical applications of AI to IT Operations. Register today and get your registration fee waived (a $599 value)!</p>,"[{""target"": ""Age"", ""segment"": ""25 to 55""}, {""target"": ""MinAge"", ""segment"": ""25""}, {""target"": ""MaxAge"", ""segment"": ""55""}, {""target"": ""City"", ""segment"": ""Berkeley""}, {""target"": ""State"", ""segment"": ""California""}, {""target"": ""City"", ""segment"": ""Redwood City""}, {""target"": ""Gender"", ""segment"": ""men""}, {""target"": ""Website"", ""segment"": ""people who have visited their website or used one of their apps""}]","<div><div class=""_4-i0 _26c5""><div class=""clearfix""><div class=""_51-u rfloat _ohf""><a class=""_42ft _5upp _50zy layerCancel _51-t _50-0 _50z-"" href=""#"">Close</a></div><div><h3 id=""u_4v_0"" class=""_52c9"">About This Facebook Ad</h3></div></div></div><div class=""_4-i2 _pig _4s3a _50f4""><div class=""_4uov""><div class=""_4uoz""><div id=""u_4v_1""></div><div class=""_3-8x""><span class=""_4v6n""><div id=""u_4v_2"">One reason you're seeing this ad is that <b id=""ad_prefs_advertiser"">Moogsoft Inc.</b> wants to reach people who have visited their website or used one of their apps. This is based on customer information provided by Moogsoft Inc.</div></span><div class=""_4hcd""><span>There may be other reasons you're seeing this ad, including that Moogsoft Inc. wants to reach <b>men ages 25 to 55 who live or were recently near Redwood City, California</b>. This is information based on your Facebook profile and where you've connected to the internet.</span></div></div></div><div></div><div class=""_4uor _52jw""><div class=""_5aj7"" id=""u_4v_3""><div class=""_4bl9""></div><div class=""_4bl7 _5r7v""><i class=""img sp_lXFspPUe6fO sx_fc6315""><u>gear</u></i></div><div class=""_4bl7""><a href=""https://www.facebook.com/ads/preferences/"">Manage Your Ad Preferences</a></div></div></div><div class=""mhs _1ray _1ra- _4uos""></div><div class=""_4uou""><div class=""_26c6 _3es4 fsl fwb fcb"">Tell Us What You Think</div><div><div class=""clearfix _ikh"" id=""u_4v_4""><div class=""_4bl7 _3es3"">Was this explanation useful?</div><div class=""_4bl7 _2pit""><a href=""#"" id=""u_4v_5"">Yes</a></div><div class=""_4bl9 _2pit""><a href=""#"" id=""u_4v_6"">No</a></div></div><span class=""hidden_elem _3es3"" id=""u_4v_7"">Thanks for your rating.</span></div></div></div></div><div class=""_5lnf uiOverlayFooter _5a8u _4866""><table class=""uiGrid _51mz uiOverlayFooterGrid""><tbody><tr class=""_51mx""><td class=""_51m- prs uiOverlayFooterMessage""><a><i class=""_4868 img sp_ubqeMV2LfFm sx_18edc3""><u>info</u></i><span class=""_4867"">Learn more about Facebook Ads</span></a></td><td class=""_51m- uiOverlayFooterButtons _51mw""></td></tr></tbody></table></div></div>"
Bitsbox,2017-12-01 18:56:30.217511-05,<p>Give the gift that teaches kids the skills they'll need for the job of their dreams.</p>,"[{""target"": ""Segment"", ""segment"": ""Parents with early school-age children (06-08 years)""}, {""target"": ""Gender"", ""segment"": ""men""}, {""target"": ""Age"", ""segment"": ""32 to 55""}, {""target"": ""Region"", ""segment"": ""the United States""}]","<div><div class=""_4-i0 _26c5""><div class=""clearfix""><div class=""_51-u rfloat _ohf""><a class=""_42ft _5upp _50zy layerCancel _51-t _50-0 _50z-"" href=""nullblank"">Close</a></div><div><h3 id=""u_d_0"" class=""_52c9"">About This Facebook Ad</h3></div></div></div><div class=""_4-i2 _pig _4s3a _50f4""><div class=""_4uov""><div class=""_4uoz""><div id=""u_d_1""></div><div class=""_3-8x""><span class=""_4v6n""><div id=""u_d_2"">One of the reasons you're seeing this ad is because we think you may be in the <b>""Parents with early school-age children (06-08 years)""</b> audience. This is based on what you do on Facebook.</div></span><div class=""_4hcd""><span>There may be other reasons you're seeing this ad, including that Bitsbox wants to reach <b>men ages 32 to 55 who live in the United States</b>. This is information based on your Facebook profile and where you've connected to the internet.</span></div></div></div><div></div><div class=""_4uor _52jw""><div class=""_5aj7"" id=""u_d_3""><div class=""_4bl9""></div><div class=""_4bl7 _5r7v""><i class=""img sp_-YK0WHN0OSg sx_89aa5b""><u>gear</u></i></div><div class=""_4bl7""><a href=""https://www.facebook.com/ads/preferences/"">Manage Your Ad Preferences</a></div></div></div><div class=""mhs pluginBoxDivider pluginBoxDividerGray _4uos""></div><div class=""_4uou""><div class=""_26c6 _3es4 fsl fwb fcb"">Tell Us What You Think</div><div><div class=""clearfix _ikh"" id=""u_d_4""><div class=""_4bl7 _3es3"">Was this explanation useful?</div><div class=""_4bl7 _2pit""><a href=""nullblank"" id=""u_d_5"">Yes</a></div><div class=""_4bl9 _2pit""><a href=""nullblank"" id=""u_d_6"">No</a></div></div><span class=""hidden_elem _3es3"" id=""u_d_7"">Thanks for your rating.</span></div></div></div></div><div class=""_5lnf uiOverlayFooter _5a8u _4866""><table class=""uiGrid _51mz uiOverlayFooterGrid""><tbody><tr class=""_51mx""><td class=""_51m- prs uiOverlayFooterMessage""><a><i class=""_4868 img sp_XYshWkkmO4s sx_86f48d""><u>info</u></i><span class=""_4867"">Learn more about Facebook Ads</span></a></td><td class=""_51m- uiOverlayFooterButtons _51mw""></td></tr></tbody></table></div></div>"
RISE,2018-06-05 14:27:49.385028-04,"<p>Meet some of the world's top tech investors, CEOs and media in Hong Kong this July. Applying is free and only takes two minutes.</p>","[{""target"": ""Language"", ""segment"": ""English (US)""}, {""target"": ""Gender"", ""segment"": ""men""}, {""target"": ""Age"", ""segment"": ""26 to 35""}, {""target"": ""City"", ""segment"": ""Bangkok""}, {""target"": ""State"", ""segment"": ""Bangkok""}]","<div><div class=""_4-i0 _26c5""><div class=""clearfix""><div class=""_51-u rfloat _ohf""><a class=""_42ft _5upp _50zy layerCancel _51-t _50-0 _50z-"" href=""nullblank"">Close</a></div><div><h3 id=""u_1l_0"" class=""_52c9"">About This Facebook Ad</h3></div></div></div><div class=""_4-i2 _pig _4s3a _50f4""><div class=""_4uov""><div class=""_4uoz""><div id=""u_1l_1""></div><div class=""_3-8x""><span class=""_4v6n""><div id=""u_1l_2"">One reason you're seeing this ad is that <b id=""ad_prefs_advertiser"">RISE</b> wants to reach people who speak <b>""English (US)""</b>. This is based on information from sources such as your Facebook profile.</div></span><div class=""_4hcd""><span>There may be other reasons you're seeing this ad, including that RISE wants to reach <b>men ages 26 to 35 who live or were recently near Bangkok, Bangkok</b>. This is information based on your Facebook profile and where you've connected to the internet.</span></div></div></div><div></div><div class=""_4uor _52jw""><div class=""_5aj7"" id=""u_1l_3""><div class=""_4bl9""></div><div class=""_4bl7 _5r7v""><i class=""img sp_lXFspPUe6fO_2x sx_0ec8d2""><u>gear</u></i></div><div class=""_4bl7""><a href=""https://www.facebook.com/ads/preferences/"">Manage Your Ad Preferences</a></div></div></div><div class=""mhs _1ray _1ra- _4uos""></div><div class=""_4uou""><div class=""_26c6 _3es4 fsl fwb fcb"">Tell Us What You Think</div><div><div class=""clearfix _ikh"" id=""u_1l_4""><div class=""_4bl7 _3es3"">Was this explanation useful?</div><div class=""_4bl7 _2pit""><a href=""nullblank"" id=""u_1l_5"">Yes</a></div><div class=""_4bl9 _2pit""><a href=""nullblank"" id=""u_1l_6"">No</a></div></div><span class=""hidden_elem _3es3"" id=""u_1l_7"">Thanks for your rating.</span></div></div></div></div><div class=""_5lnf uiOverlayFooter _5a8u _4866""><table class=""uiGrid _51mz uiOverlayFooterGrid""><tbody><tr class=""_51mx""><td class=""_51m- prs uiOverlayFooterMessage""><a><i class=""_4868 img sp_lcbcSwnek2W_2x sx_0f80d9""><u>info</u></i><span class=""_4867"">Learn more about Facebook Ads</span></a></td><td class=""_51m- uiOverlayFooterButtons _51mw""></td></tr></tbody></table></div></div>"
Orvis,2018-06-01 10:42:36.421808-04,"<p>Like you, we spend many hours in the office. And like you, we pursue our passion for fishing, hunting, and adventuring as if it were a second job. That's why we design quality gear and apparel for people who demand the best. That’s the Orvis difference.</p>","[{""target"": ""Interest"", ""segment"": ""Patagonia (clothing)""}, {""target"": ""Gender"", ""segment"": ""men""}, {""target"": ""Age"", ""segment"": ""25 and older""}, {""target"": ""Region"", ""segment"": ""the United States""}]","<div><div class=""_4-i0 _26c5""><div class=""clearfix""><div class=""_51-u rfloat _ohf""><a class=""_42ft _5upp _50zy layerCancel _51-t _50-0 _50z-"" href=""nullblank"">Close</a></div><div><h3 id=""u_2t_0"" class=""_52c9"">About This Facebook Ad</h3></div></div></div><div class=""_4-i2 _pig _4s3a _50f4""><div class=""_4uov""><div class=""_4uoz""><div id=""u_2t_1""></div><div class=""_3-8x""><span class=""_4v6n""><div id=""u_2t_2"">One reason you're seeing this ad is that <b id=""ad_prefs_advertiser"">Orvis</b> wants to reach people interested in <b id=""ad_prefs_interest"">Patagonia (clothing)</b>, based on activity such as liking Pages or clicking on ads.</div></span><div class=""_4hcd""><span>There may be other reasons you're seeing this ad, including that Orvis wants to reach <b>men ages 25 and older who live or were recently in the United States</b>. This is information based on your Facebook profile and where you've connected to the internet.</span></div></div></div><div id=""u_2t_3""></div><div class=""_4uor _52jw""><div class=""_5aj7"" id=""u_2t_4""><div class=""_4bl9""></div><div class=""_4bl7 _5r7v""><i class=""img sp_lXFspPUe6fO sx_fc6315""><u>gear</u></i></div><div class=""_4bl7""><a href=""https://www.facebook.com/ads/preferences/"">Manage Your Ad Preferences</a></div></div></div><div class=""mhs _1ray _1ra- _4uos""></div><div class=""_4uou""><div class=""_26c6 _3es4 fsl fwb fcb"">Tell Us What You Think</div><div><div class=""clearfix _ikh"" id=""u_2t_5""><div class=""_4bl7 _3es3"">Was this explanation useful?</div><div class=""_4bl7 _2pit""><a href=""nullblank"" id=""u_2t_6"">Yes</a></div><div class=""_4bl9 _2pit""><a href=""nullblank"" id=""u_2t_7"">No</a></div></div><span class=""hidden_elem _3es3"" id=""u_2t_8"">Thanks for your rating.</span></div></div></div></div><div class=""_5lnf uiOverlayFooter _5a8u _4866""><table class=""uiGrid _51mz uiOverlayFooterGrid""><tbody><tr class=""_51mx""><td class=""_51m- prs uiOverlayFooterMessage""><a><i class=""_4868 img sp_kybH6jgXCV8 sx_f54088""><u>info</u></i><span class=""_4867"">Learn more about Facebook Ads</span></a></td><td class=""_51m- uiOverlayFooterButtons _51mw""></td></tr></tbody></table></div></div>"
Bombas,2018-02-23 08:16:47.173025-05,"<p>F​our years ago, two ​guys​ quit their jobs at a media company and decided to make a difference in the world with socks.​ Here's how it turned out:</p>","[{""target"": ""Retargeting"", ""segment"": ""people who may be similar to their customers""}, {""target"": ""Gender"", ""segment"": ""men""}, {""target"": ""Age"", ""segment"": ""25 and older""}, {""target"": ""Region"", ""segment"": ""the United States""}]","<div><div class=""_4-i0 _26c5""><div class=""clearfix""><div class=""_51-u rfloat _ohf""><a class=""_42ft _5upp _50zy layerCancel _51-t _50-0 _50z-"" href=""nullblank"">Close</a></div><div><h3 id=""u_2j_0"" class=""_52c9"">About This Facebook Ad</h3></div></div></div><div class=""_4-i2 _pig _4s3a _50f4""><div class=""_4uov""><div class=""_4uoz""><div id=""u_2j_1""></div><div class=""_3-8x""><span class=""_4v6n""><div id=""u_2j_2"">One reason you're seeing this ad is that <b id=""ad_prefs_advertiser"">Bombas</b> wants to reach <b>people who may be similar to their customers</b>. <a id=""ad_prefs_link"">Learn more.</a></div></span><div class=""_4hcd""><span>There may be other reasons you're seeing this ad, including that Bombas wants to reach <b>men ages 25 and older who live in the United States</b>. This is information based on your Facebook profile and where you've connected to the internet.</span></div></div></div><div></div><div class=""_4uor _52jw""><div class=""_5aj7"" id=""u_2j_3""><div class=""_4bl9""></div><div class=""_4bl7 _5r7v""><i class=""img sp_PVuC7pFCHqd sx_1baca1""><u>gear</u></i></div><div class=""_4bl7""><a href=""https://www.facebook.com/ads/preferences/"">Manage Your Ad Preferences</a></div></div></div><div class=""mhs pluginBoxDivider pluginBoxDividerGray _4uos""></div><div class=""_4uou""><div class=""_26c6 _3es4 fsl fwb fcb"">Tell Us What You Think</div><div><div class=""clearfix _ikh"" id=""u_2j_4""><div class=""_4bl7 _3es3"">Was this explanation useful?</div><div class=""_4bl7 _2pit""><a href=""nullblank"" id=""u_2j_5"">Yes</a></div><div class=""_4bl9 _2pit""><a href=""nullblank"" id=""u_2j_6"">No</a></div></div><span class=""hidden_elem _3es3"" id=""u_2j_7"">Thanks for your rating.</span></div></div></div></div><div class=""_5lnf uiOverlayFooter _5a8u _4866""><table class=""uiGrid _51mz uiOverlayFooterGrid""><tbody><tr class=""_51mx""><td class=""_51m- prs uiOverlayFooterMessage""><a><i class=""_4868 img sp_FVhLSYarIy5 sx_0ad9b2""><u>info</u></i><span class=""_4867"">Learn more about Facebook Ads</span></a></td><td class=""_51m- uiOverlayFooterButtons _51mw""></td></tr></tbody></table></div></div>"
ACLU,2018-08-21 18:17:05.924753-04,"<p>This Election Day, we all have a job to do—to vote like our rights depend on it. That’s why we’re asking you to become an ACLU Voter. An ACLU Voter demands that candidates will fight to legalize marijuana and automatically free from jail and clear the names of those convicted of possession. Add your name now to join us.</p>","[{""target"": ""Age"", ""segment"": ""18 to 34""}, {""target"": ""MinAge"", ""segment"": ""18""}, {""target"": ""MaxAge"", ""segment"": ""34""}, {""target"": ""Interest"", ""segment"": ""American Civil Liberties Union""}, {""target"": ""Gender"", ""segment"": ""men""}, {""target"": ""Region"", ""segment"": ""the United States""}]","<div><div class=""_4-i0 _26c5""><div class=""clearfix""><div class=""_51-u rfloat _ohf""><a class=""_42ft _5upp _50zy layerCancel _51-t _50-0 _50z-"" href=""#"">Close</a></div><div><h3 id=""u_vw_0"" class=""_52c9"">About This Facebook Ad</h3></div></div></div><div class=""_4-i2 _pig _4s3a _50f4""><div class=""_4uov""><div class=""_4uoz""><div id=""u_vw_1""></div><div class=""_3-8x""><span class=""_4v6n""><div id=""u_vw_2"">One reason you're seeing this ad is that <b id=""ad_prefs_advertiser"">ACLU</b> wants to reach people interested in <b id=""ad_prefs_interest"">American Civil Liberties Union</b>, based on activity such as liking Pages or clicking on ads.</div></span><div class=""_4hcd""><span>There may be other reasons you're seeing this ad, including that ACLU wants to reach <b>men ages 18 to 34 who live or were recently in the United States</b>. This is information based on your Facebook profile and where you've connected to the internet.</span></div></div></div><div id=""u_vw_3""></div><div class=""_4uor _52jw""><div class=""_5aj7"" id=""u_vw_4""><div class=""_4bl9""></div><div class=""_4bl7 _5r7v""><i class=""img sp_P_sQPvHyhCI_2x sx_b282ea""><u>gear</u></i></div><div class=""_4bl7""><a href=""https://www.facebook.com/ads/preferences/"">Manage Your Ad Preferences</a></div></div></div><div class=""mhs _1ray _1ra- _4uos""></div><div class=""_4uou""><div class=""_26c6 _3es4 fsl fwb fcb"">Tell Us What You Think</div><div><div class=""clearfix _ikh"" id=""u_vw_5""><div class=""_4bl7 _3es3"">Was this explanation useful?</div><div class=""_4bl7 _2pit""><a href=""#"" id=""u_vw_6"">Yes</a></div><div class=""_4bl9 _2pit""><a href=""#"" id=""u_vw_7"">No</a></div></div><span class=""hidden_elem _3es3"" id=""u_vw_8"">Thanks for your rating.</span></div></div></div></div><div class=""_5lnf uiOverlayFooter _5a8u _4866""><table class=""uiGrid _51mz uiOverlayFooterGrid""><tbody><tr class=""_51mx""><td class=""_51m- prs uiOverlayFooterMessage""><a><i class=""_4868 img sp_tOyVCQVqLMl_2x sx_73709a""><u>info</u></i><span class=""_4867"">Learn more about Facebook Ads</span></a></td><td class=""_51m- uiOverlayFooterButtons _51mw""></td></tr></tbody></table></div></div>"
